UDI,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_min,Pressure_bar,Vibration_mm_s,Machine_Failure,Failure_Type
85,297.95,312.89,1556.3,61.47,139,4.56,5.36,1,Power Failure
86,298.09,308.77,1407.6,67.73,230,5.74,4.27,1,Tool Wear Failure
87,301.93,315.41,1467.1,75.15,121,6.32,2.04,1,Power Failure
88,301.06,313.08,1706.5,44.54,20,6.66,2.5,0,No Failure
89,303.43,315.57,1390.8,60.69,149,4.03,2.78,0,No Failure
90,299.49,313.07,1100.0,62.27,82,8.14,3.74,0,No Failure
91,296.14,309.6,1937.4,57.04,205,6.42,3.94,1,Tool Wear Failure
92,301.78,316.73,1845.4,67.39,104,5.5,3.86,0,No Failure
93,302.23,312.87,1176.9,62.49,46,6.81,1.79,0,No Failure
94,300.33,310.85,1672.4,34.65,46,8.34,2.71,0,No Failure
95,302.32,315.95,1374.3,60.39,185,3.77,4.97,0,No Failure
96,299.69,312.58,1565.9,69.82,64,5.23,9.67,1,Power Failure
97,299.97,311.34,1573.6,65.91,184,2.65,2.66,1,Power Failure
98,299.06,309.46,1441.4,67.45,49,5.73,1.59,1,Power Failure
99,295.24,305.67,1304.1,63.12,77,5.94,1.25,0,No Failure
100,296.02,310.5,1327.4,52.66,112,5.45,3.88,0,No Failure
101,295.3,306.26,1271.0,71.73,226,4.71,0.53,1,Tool Wear Failure
102,301.05,312.66,1292.0,57.82,224,3.04,3.91,1,Tool Wear Failure
103,297.99,309.12,1483.2,84.18,50,5.95,3.96,1,Power Failure
104,299.83,311.61,1321.1,71.28,86,7.25,1.64,1,Power Failure
105,303.62,313.97,1670.5,52.78,36,4.79,2.99,1,Power Failure
106,297.37,309.96,1871.8,48.45,122,6.03,2.1,1,Power Failure
107,298.9,309.24,1355.0,63.97,111,3.62,0.71,1,Power Failure
108,302.18,316.18,1559.9,58.41,216,6.05,3.71,1,Tool Wear Failure
109,297.17,308.34,1624.9,70.67,223,5.03,3.48,1,Tool Wear Failure
110,295.73,308.43,1618.0,61.5,92,4.59,1.75,1,Power Failure
111,297.75,312.15,1519.0,54.3,118,4.59,9.57,0,No Failure
112,296.53,309.79,1685.7,77.19,215,5.03,2.51,1,Tool Wear Failure
113,303.83,316.5,1620.6,60.08,194,5.96,0.5,1,Power Failure
114,302.68,314.3,1190.6,75.88,1,3.93,5.15,0,No Failure
115,301.02,312.68,1717.3,51.57,77,5.02,4.36,0,No Failure
116,303.28,316.63,1721.8,61.19,101,5.45,4.72,1,Power Failure
117,302.63,317.61,1309.2,68.93,55,4.18,1.03,0,No Failure
118,296.77,310.08,1509.5,42.91,48,7.66,2.94,0,No Failure
119,303.48,316.27,1670.8,78.74,9,4.48,2.48,0,No Failure
120,300.12,313.78,1447.7,75.95,154,4.7,2.18,1,Power Failure
121,302.67,315.0,1768.2,52.66,63,4.33,6.09,1,Power Failure
122,303.51,313.81,2091.0,39.16,13,7.66,2.54,0,No Failure
123,298.02,310.83,1303.5,69.41,55,6.16,1.8,1,Power Failure
124,296.05,310.83,1154.7,69.77,192,4.38,1.79,1,Overstrain Failure
125,297.17,308.04,1576.0,64.04,204,6.83,0.96,1,Tool Wear Failure
126,299.06,312.51,1680.4,60.31,116,5.74,2.73,1,Power Failure
127,302.77,313.78,1442.3,68.22,100,5.81,6.41,1,Power Failure
128,303.18,315.86,1863.3,69.21,235,5.09,1.92,1,Tool Wear Failure
129,295.07,305.55,1165.3,74.37,48,4.6,3.06,0,No Failure
130,299.85,312.1,1673.2,48.04,52,5.91,2.15,0,No Failure
131,298.97,312.75,1348.5,78.65,70,4.85,2.34,1,Power Failure
132,297.11,308.85,1929.8,69.81,41,7.68,4.49,0,No Failure
133,296.14,309.46,1998.1,83.56,91,3.98,0.95,1,Power Failure
134,298.21,312.18,1308.3,54.6,219,7.34,0.59,1,Tool Wear Failure
135,303.96,318.59,1362.6,67.18,148,5.37,5.16,1,Power Failure
136,298.07,309.24,1714.9,36.88,99,5.86,1.6,0,No Failure
137,299.93,311.93,1403.2,69.47,224,6.5,1.82,1,Tool Wear Failure
138,301.68,312.44,1488.6,56.75,12,4.74,10.93,1,Overstrain Failure
139,298.45,313.42,1506.3,81.11,50,6.54,4.34,1,Power Failure
140,304.23,318.87,1100.0,62.25,136,2.25,1.17,0,No Failure
141,304.14,316.84,1496.5,45.18,148,4.64,5.41,0,No Failure
142,297.39,311.6,1327.6,60.74,9,4.39,4.41,0,No Failure
143,299.72,312.33,1376.7,44.71,97,4.0,0.5,0,No Failure
144,297.86,310.98,1860.9,62.29,156,5.24,2.81,0,No Failure
145,297.71,308.15,1185.9,47.63,168,5.96,1.0,0,No Failure
146,295.35,309.13,1703.3,58.22,153,6.34,2.33,1,Power Failure
147,300.79,311.43,1430.3,42.62,77,5.79,9.69,0,No Failure
148,299.78,313.91,1430.1,60.2,22,4.7,4.63,1,Power Failure
149,295.49,309.4,1697.6,74.48,103,5.94,5.06,1,Power Failure
150,297.65,311.19,1585.0,63.91,31,5.65,2.15,1,Power Failure
151,303.63,313.81,1642.7,50.51,227,6.62,5.08,1,Tool Wear Failure
152,297.28,308.79,1742.0,56.85,114,6.43,1.35,0,No Failure
153,296.38,307.69,1417.2,63.84,76,5.54,2.78,0,No Failure
154,299.65,311.45,1346.9,69.79,184,4.42,4.48,1,Power Failure
155,304.36,314.8,1228.7,53.76,120,4.72,4.39,0,No Failure
156,297.3,311.98,1293.6,72.05,74,4.84,0.63,1,Power Failure
157,301.39,314.15,2237.3,20.21,195,5.12,8.33,0,No Failure
158,302.24,313.76,1811.2,49.48,208,5.82,1.13,1,Tool Wear Failure
159,297.26,309.24,1162.2,63.87,162,6.36,12.21,1,Overstrain Failure
160,301.92,314.15,1169.4,74.95,11,5.44,4.57,0,No Failure
161,298.49,311.5,1620.5,59.82,136,5.52,4.3,1,Power Failure
162,301.01,313.59,1636.8,45.21,183,5.67,1.22,0,No Failure
163,301.02,315.62,1637.2,49.41,33,4.88,1.66,0,No Failure
164,300.09,312.57,1436.3,65.26,55,4.39,7.89,0,No Failure
165,295.86,310.82,1468.6,61.84,212,3.39,7.22,1,Tool Wear Failure
166,302.94,317.19,1582.0,54.57,5,4.67,2.2,1,Power Failure
167,298.05,309.09,1521.5,56.76,181,6.07,2.06,1,Power Failure
168,296.77,311.42,1100.0,76.96,114,4.66,2.11,0,No Failure
169,295.39,305.97,1442.6,57.97,107,5.21,5.43,0,No Failure
170,300.61,314.7,1287.1,65.38,2,6.06,5.08,0,No Failure
171,301.44,313.34,1543.8,82.82,197,6.12,3.33,1,Power Failure
172,295.16,309.55,2246.3,32.84,86,4.2,2.8,0,No Failure
173,299.86,314.21,1591.9,41.64,130,6.7,2.18,0,No Failure
174,297.15,311.18,1421.6,71.4,163,6.85,11.58,1,Overstrain Failure
175,301.13,315.08,1730.5,50.6,169,4.14,0.71,1,Power Failure
176,296.66,308.18,1620.7,56.4,229,4.51,1.84,1,Tool Wear Failure
177,301.56,311.97,1605.0,52.09,128,6.93,3.16,0,No Failure
178,298.67,310.69,1651.7,56.37,96,5.32,0.57,1,Power Failure
179,303.9,314.77,2014.1,67.7,229,2.84,1.57,1,Tool Wear Failure
180,296.31,309.78,1217.3,75.68,154,3.82,9.61,1,Power Failure
181,298.24,309.97,1618.4,68.25,72,5.2,4.84,1,Power Failure
182,296.08,310.96,1268.4,52.47,30,4.1,1.56,0,No Failure
183,303.78,316.99,1638.9,47.71,202,5.0,1.52,1,Tool Wear Failure
184,303.33,317.45,1270.3,38.2,87,5.54,0.71,0,No Failure
185,297.45,308.11,1395.7,55.99,159,7.25,1.75,0,No Failure
186,301.27,315.58,1426.2,73.04,113,5.15,3.77,1,Power Failure
187,302.76,317.38,1744.0,62.29,48,6.79,3.32,1,Power Failure
188,300.27,312.71,1729.6,55.19,144,7.21,1.82,1,Power Failure
189,300.03,313.06,1188.6,68.01,15,7.22,1.11,0,No Failure
190,297.3,311.12,1513.7,54.84,99,5.84,2.16,0,No Failure
191,295.88,306.76,1322.6,67.6,131,3.14,2.12,1,Power Failure
192,303.52,316.04,1185.4,75.95,105,6.05,4.42,0,No Failure
193,303.55,315.55,1445.7,46.93,180,6.76,2.97,0,No Failure
194,301.01,311.75,1422.9,66.54,199,5.4,2.68,1,Power Failure
195,298.22,310.06,2106.7,59.19,185,7.59,5.76,0,No Failure
196,298.32,308.66,1608.2,55.68,9,6.53,7.17,1,Power Failure
197,301.9,312.03,1155.6,75.9,47,6.18,3.29,1,Power Failure
198,303.52,314.2,1358.8,90.0,129,6.8,3.35,1,Overstrain Failure
199,303.43,318.24,1755.3,55.85,224,5.9,2.28,1,Tool Wear Failure
200,302.41,315.16,2022.1,55.49,200,2.51,1.2,1,Tool Wear Failure
201,301.1,315.93,1103.5,62.55,202,4.9,4.67,1,Tool Wear Failure
202,295.8,307.96,1100.0,71.81,73,6.94,4.05,0,No Failure
203,296.54,308.09,1967.7,57.25,103,4.53,2.43,1,Power Failure
204,303.54,316.07,1597.4,62.0,113,5.23,2.98,1,Power Failure
205,300.76,312.96,1282.9,56.14,38,4.25,5.5,0,No Failure
206,295.09,305.62,1633.7,61.39,7,7.64,6.14,1,Power Failure
207,295.96,309.17,1100.0,84.62,227,7.52,0.5,1,Tool Wear Failure
208,301.3,312.38,1500.8,66.47,58,4.44,1.47,0,No Failure
209,295.05,308.15,1582.0,69.98,58,5.68,2.42,1,Power Failure
210,296.53,309.78,1731.1,55.01,20,4.68,0.96,0,No Failure
211,300.21,310.97,1246.5,74.57,223,6.24,3.04,1,Tool Wear Failure
212,301.57,311.88,1521.4,64.36,139,6.11,1.54,1,Power Failure
213,301.19,315.1,1268.6,57.12,160,6.47,3.12,0,No Failure
214,297.13,309.43,1563.8,63.91,219,5.9,1.58,1,Tool Wear Failure
215,301.77,312.06,1276.2,56.56,83,9.02,1.64,0,No Failure
216,297.25,312.23,1398.0,57.71,149,4.27,3.1,0,No Failure
217,298.09,308.38,1251.0,68.87,9,3.45,4.81,0,No Failure
218,302.09,315.57,1662.8,61.72,45,5.03,3.89,1,Power Failure
219,301.17,316.09,1714.6,45.82,199,3.62,2.44,0,No Failure
220,303.07,314.26,1441.3,73.71,184,3.71,0.5,1,Power Failure
221,301.25,311.96,1509.6,67.53,84,4.3,1.6,0,No Failure
222,300.4,311.01,1137.9,62.2,90,4.39,1.46,0,No Failure
223,295.89,307.41,1425.1,48.12,128,4.35,4.23,0,No Failure
224,298.49,309.0,1487.4,60.8,0,6.12,2.82,0,No Failure
225,297.52,310.98,2155.2,44.44,58,4.89,2.9,0,No Failure
226,297.32,307.63,1222.0,68.69,50,5.28,1.25,0,No Failure
227,304.24,316.79,1866.0,51.05,60,6.57,6.31,0,No Failure
228,298.73,313.72,1749.2,36.94,193,4.58,2.88,0,No Failure
229,303.47,317.54,1570.2,56.71,67,5.18,1.19,1,Power Failure
230,301.0,314.07,1939.7,50.15,46,5.94,1.27,1,Power Failure
231,302.55,314.08,1593.0,66.48,121,3.17,3.2,1,Power Failure
232,299.78,312.89,1597.3,53.07,208,2.64,1.15,0,No Failure
233,300.48,313.12,1486.7,79.05,58,5.92,1.47,1,Power Failure
234,299.68,311.81,1805.9,36.77,19,6.09,0.92,0,No Failure
235,296.85,307.51,1774.1,69.63,86,7.98,4.2,1,Power Failure
236,301.86,316.3,1343.6,62.89,179,5.69,1.17,0,No Failure
237,297.67,309.92,1170.2,77.19,132,6.48,7.01,0,No Failure
238,295.23,306.2,1449.3,63.81,196,5.27,3.5,1,Power Failure
239,301.13,312.97,1300.0,77.4,230,5.86,0.91,1,Tool Wear Failure
240,296.68,308.75,1484.1,58.44,190,7.5,3.86,1,Power Failure
241,303.93,318.07,1809.4,44.83,145,2.95,6.31,0,No Failure
242,304.06,317.73,1385.7,78.49,118,6.0,2.36,1,Power Failure
243,303.69,317.54,1489.3,61.08,10,8.06,6.82,0,No Failure
244,298.52,308.57,1514.5,63.93,236,5.84,3.54,1,Tool Wear Failure
245,295.15,307.23,1712.1,70.11,92,7.48,1.54,1,Power Failure
246,303.82,316.23,1100.0,59.68,37,4.74,9.71,0,No Failure
247,299.07,309.16,1348.3,70.99,160,5.46,0.69,0,No Failure
248,304.18,315.48,1552.8,55.04,68,5.54,1.93,0,No Failure
249,304.15,317.96,1800.0,54.68,141,2.84,2.44,0,No Failure
250,303.1,313.79,1377.0,65.18,141,4.1,8.64,1,Power Failure
251,297.8,310.47,1100.0,55.0,107,4.18,4.27,0,No Failure
252,298.66,309.73,1654.9,51.11,201,6.49,3.78,1,Tool Wear Failure
253,303.09,313.15,1341.2,78.69,64,6.55,1.34,1,Power Failure
254,298.01,309.22,1202.6,76.81,108,5.89,2.29,1,Power Failure
255,296.61,311.49,1343.9,64.5,129,6.49,1.57,1,Power Failure
256,300.29,314.3,1453.9,65.35,159,5.3,3.69,1,Power Failure
257,303.89,318.69,1348.8,62.08,188,6.94,5.65,1,Overstrain Failure
258,301.61,314.05,1100.0,83.57,95,5.51,11.17,1,Power Failure
259,300.42,310.96,1724.3,55.51,155,5.57,1.72,1,Power Failure
260,295.92,308.66,1818.7,57.94,36,5.18,0.67,1,Power Failure
261,300.84,313.11,1662.9,70.2,224,6.32,1.95,1,Tool Wear Failure
262,304.41,318.63,1215.6,59.91,92,4.99,5.13,0,No Failure
263,296.33,306.82,1449.6,78.6,175,6.67,1.2,1,Power Failure
264,299.92,312.37,1498.4,46.73,5,4.14,2.51,0,No Failure
265,303.34,314.09,1649.7,75.3,49,4.18,3.81,1,Power Failure
266,302.04,313.66,1667.1,54.93,117,6.32,1.75,1,Power Failure
267,301.62,315.31,1316.5,63.24,211,5.39,2.98,1,Tool Wear Failure
268,301.67,314.05,1520.5,42.69,127,4.96,1.1,0,No Failure
269,298.42,310.29,1614.3,55.17,223,6.57,5.92,1,Tool Wear Failure
270,297.79,309.76,1864.0,44.32,116,4.77,2.07,0,No Failure
271,302.69,314.99,1676.1,52.4,118,5.26,2.91,1,Power Failure
272,302.7,316.62,1697.3,56.68,29,7.18,0.5,1,Power Failure
273,303.24,317.7,1521.0,71.16,193,7.35,0.96,1,Power Failure
274,303.68,318.45,1852.6,57.02,59,7.39,5.01,1,Power Failure
275,299.86,313.79,1602.4,63.03,216,5.16,1.73,1,Tool Wear Failure
276,299.76,311.34,1284.7,55.35,219,6.98,1.15,1,Overstrain Failure
277,302.58,316.02,1850.8,46.18,226,4.36,0.62,1,Tool Wear Failure
278,301.17,313.36,1674.5,76.5,125,4.41,5.84,1,Power Failure
279,301.67,312.94,1389.2,56.86,163,2.68,4.14,0,No Failure
280,302.56,316.76,1380.1,80.96,187,7.51,3.95,1,Overstrain Failure
281,303.46,313.65,1574.1,58.09,31,4.46,7.44,1,Power Failure
282,298.21,312.72,1615.8,59.71,144,5.35,1.93,1,Power Failure
283,298.57,310.88,1549.3,71.72,8,4.41,0.68,1,Power Failure
284,295.89,309.08,1577.8,73.16,119,6.33,2.62,0,No Failure
285,300.49,313.79,1925.0,52.39,37,5.05,8.39,1,Power Failure
286,295.34,309.82,1767.9,52.76,44,3.93,2.66,0,No Failure
287,299.42,312.61,1547.7,60.49,88,6.03,5.55,1,Power Failure
288,300.16,313.22,1735.3,60.67,104,3.78,0.71,1,Power Failure
289,297.72,308.06,1241.9,76.08,150,4.5,1.32,1,Power Failure
290,300.61,313.2,1599.5,60.05,18,2.97,4.81,0,No Failure
291,295.29,306.04,1952.3,59.14,121,3.79,2.87,1,Power Failure
292,295.35,309.04,1445.5,79.47,44,5.71,2.32,1,Power Failure
293,302.81,315.38,1288.1,70.05,138,3.14,5.5,1,Power Failure
294,298.42,311.82,1337.0,68.38,153,3.72,4.76,1,Power Failure
295,296.21,306.42,1227.6,52.26,134,5.5,2.93,0,No Failure
296,299.96,310.39,1303.8,39.62,177,4.85,0.5,0,No Failure
297,302.31,315.9,1407.4,67.74,81,7.89,2.54,1,Power Failure
298,297.05,307.41,1148.6,68.08,184,7.7,3.47,1,Overstrain Failure
299,300.92,311.27,1503.9,56.77,104,4.46,0.5,0,No Failure
300,295.81,305.87,1725.6,59.92,116,6.17,3.38,0,No Failure
301,295.49,310.27,1273.1,65.93,156,6.4,5.67,0,No Failure
302,300.05,313.74,1879.8,65.68,4,4.78,2.53,0,No Failure
303,300.14,311.9,1627.7,60.31,157,3.71,1.03,0,No Failure
304,301.06,312.54,1757.6,49.38,148,5.49,0.5,1,Power Failure
305,301.9,313.65,1335.5,75.19,74,5.29,3.43,0,No Failure
306,304.27,318.14,1713.6,55.56,21,4.98,0.5,1,Power Failure
307,299.9,313.21,1227.0,72.73,22,6.03,3.93,0,No Failure
308,298.07,308.99,1722.6,52.77,222,4.6,8.13,1,Power Failure
309,302.55,313.42,1543.0,54.64,165,4.12,1.38,0,No Failure
310,297.57,308.06,1638.3,60.08,31,5.63,2.12,1,Power Failure
311,299.17,312.47,1206.1,68.01,86,5.96,8.43,0,No Failure
312,295.75,309.57,1276.2,71.27,142,4.09,2.77,0,No Failure
313,295.24,306.57,1649.3,56.33,201,6.61,1.75,1,Tool Wear Failure
314,304.15,314.25,1262.9,48.38,10,3.38,5.13,0,No Failure
315,302.94,313.35,1615.8,55.36,57,4.81,1.83,1,Power Failure
316,301.61,316.45,1158.2,76.77,214,5.19,1.3,1,Tool Wear Failure
317,298.89,310.36,1712.0,54.79,2,4.74,3.89,0,No Failure
318,296.65,310.49,1191.9,65.7,48,4.82,5.41,0,No Failure
319,296.49,309.61,1638.1,69.1,230,7.75,1.29,1,Tool Wear Failure
320,297.38,309.29,1656.4,51.75,147,4.48,2.95,0,No Failure
321,300.22,311.25,1325.8,50.06,63,8.43,2.19,0,No Failure
322,301.79,312.4,1645.5,57.48,16,6.02,2.48,1,Power Failure
323,301.27,314.35,1565.1,55.86,7,5.61,1.04,0,No Failure
324,297.66,311.53,1365.3,55.03,59,6.07,4.1,0,No Failure
325,304.07,317.29,1247.9,65.29,212,8.54,6.99,1,Tool Wear Failure
326,302.01,314.66,1100.0,74.92,100,4.31,1.26,0,No Failure
327,300.27,310.48,1587.4,60.16,173,4.16,4.1,0,No Failure
328,300.81,315.65,1108.8,72.89,220,4.59,5.05,1,Tool Wear Failure
329,298.99,312.98,1523.8,79.66,98,5.54,2.93,0,No Failure
330,297.35,308.82,1434.1,59.89,46,3.43,3.97,0,No Failure
331,298.38,313.28,1669.8,61.39,124,5.53,1.4,0,No Failure
332,302.2,315.21,1424.5,58.42,218,7.53,6.73,1,Tool Wear Failure
333,295.14,308.05,1417.6,55.18,193,5.68,5.44,0,No Failure
334,296.1,309.84,1683.0,52.49,16,5.15,5.87,1,Power Failure
335,295.44,309.5,1583.8,55.54,166,4.76,0.88,0,No Failure
336,295.39,308.67,1579.0,64.01,137,6.58,3.62,0,No Failure
337,303.13,313.77,1617.3,83.14,218,4.51,1.49,1,Tool Wear Failure
338,301.68,313.38,1116.1,62.52,29,7.72,7.12,0,No Failure
339,299.5,314.15,1689.2,54.05,128,7.82,1.29,1,Power Failure
340,295.93,307.05,1653.1,58.31,211,5.81,3.02,1,Tool Wear Failure
341,299.67,311.53,1245.8,71.04,98,5.49,0.5,1,Power Failure
342,299.5,311.66,1439.0,65.86,116,6.74,3.01,1,Power Failure
343,296.65,308.84,1490.2,75.04,17,6.81,0.89,0,No Failure
344,299.12,312.19,1466.4,38.41,67,4.53,3.76,0,No Failure
345,298.79,313.5,1583.5,36.46,78,4.87,2.24,0,No Failure
346,300.85,312.05,1857.8,49.88,227,3.91,1.87,1,Power Failure
347,301.03,311.64,1770.4,67.56,68,5.99,7.24,1,Power Failure
348,295.43,306.42,1171.9,52.9,111,6.3,10.15,0,No Failure
349,298.56,312.99,1655.5,28.81,161,3.88,0.65,0,No Failure
350,300.95,314.17,1832.2,61.07,39,4.95,1.92,1,Power Failure
351,299.78,311.21,1596.7,62.5,117,3.88,4.56,1,Power Failure
352,303.14,317.22,1772.7,45.64,177,4.42,3.32,0,No Failure
353,301.26,315.56,2003.1,42.08,208,6.16,4.39,0,No Failure
354,296.55,310.78,1755.9,47.18,150,4.62,2.37,0,No Failure
355,295.67,310.27,1562.3,61.86,161,5.14,5.6,1,Power Failure
356,301.1,312.36,1761.3,50.51,30,3.55,2.92,0,No Failure
357,295.25,309.03,1536.2,66.22,227,5.72,3.47,1,Tool Wear Failure
358,300.56,312.87,1506.0,33.33,32,5.45,0.89,0,No Failure
359,303.93,318.14,1412.1,55.19,186,4.63,2.7,0,No Failure
360,300.47,314.11,1890.9,42.92,64,5.27,4.6,0,No Failure
361,298.69,312.57,1295.4,63.53,224,5.72,3.19,1,Tool Wear Failure
362,301.11,314.39,1883.1,48.96,173,4.52,2.8,1,Power Failure
363,299.35,310.24,1625.0,67.48,181,3.73,3.62,1,Power Failure
364,300.18,312.91,1150.2,50.4,53,7.67,2.91,0,No Failure
365,303.94,318.87,1591.9,60.62,106,4.74,2.43,0,No Failure
366,298.67,313.35,1100.0,75.58,148,5.38,4.7,0,No Failure
367,304.13,314.35,1656.4,77.44,185,6.71,2.3,1,Power Failure
368,303.6,314.42,1721.3,52.76,25,9.73,0.84,1,Power Failure
369,296.86,307.52,1351.9,68.21,231,4.01,7.02,1,Tool Wear Failure
370,295.66,309.29,1530.9,43.34,214,6.04,1.53,0,No Failure
